ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,localdurationandpitch
ɹ,-1,1,-1,1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,0,-1,0,0,0
ɻ,-1,1,-1,1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
l,-1,1,1,1,-1,1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
l̪,-1,1,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɦ,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɑ,1,1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,1,1,-1,-1,1,-1,0,0,0
ɘ,1,1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,0,0
ɞ,1,1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,1,-1,-1,-1,1,-1,-1,-1,0,0,0
ɤ,1,1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,0,0
ɵ,1,1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,1,-1,-1,-1,1,-1,1,-1,0,0,0
ʉ,1,1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,1,1,-1,-1,1,-1,1,-1,0,0,0
a,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0,0,0
e,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,0,0
i,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,1,-1,0,0,0
o,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,1,-1,1,-1,0,0,0
u,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,1,1,-1,1,1,-1,1,-1,0,0,0
y,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,1,1,-1,-1,1,-1,1,-1,0,0,0
æ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0,0,0
ø,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,1,-1,0,0,0
œ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,0,0
