target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
nhy|mxq|0.17774985125672035|0.00934098052926663|0.13333333333333333|0.39057523990756104|mco|0.1781607189864174|0.01057358371835776|0.13333333333333333|0.39057523990756104|tac|0.17910274865189169|0.07576978441721346|0.46153846153846156|0.0|tos|0.18200607366745813|0.012585838237670543|0.14285714285714285|0.39057523990756104|toc|0.18233163558592755|0.013562523993078677|0.14285714285714285|0.39057523990756104
nin|bjv|0.17554991454003988|0.048417911725269096|0.10526315789473684|0.3729686740001137|bus|0.1802047818503001|0.025860000646318153|0.11764705882352941|0.3971072860810527|kyq|0.18189117617387432|0.05505779569797989|0.11764705882352941|0.3729686740001137|knf|0.18306163068239958|0.13367831473921613|0.0|0.4155065773079827|bqp|0.19320749738555884|0.02297863015321454|0.11764705882352941|0.4389968031799325
nko|yre|0.18760411318981463|0.032610561709892634|0.10526315789473684|0.4249386199648144|bqp|0.19089982424502305|0.02697739305133171|0.10526315789473684|0.4404589217890006|knf|0.19781054338724235|0.09241628590024409|0.0|0.501015344261483|bqc|0.2039887214936044|0.02617041341887422|0.10526315789473684|0.4805325931672021|bus|0.20451464644342607|0.023068292764670977|0.10526315789473684|0.4852124886708704
nld|hun|0.26098881797189616|0.06004391049204878|0.14285714285714285|0.5800654005664968|fra|0.27256564867711897|0.024699095083768493|0.20689655172413793|0.5861012992234504|tur|0.2899575799332854|0.12615457837810978|0.1111111111111111|0.6326070503106354|mlt|0.2902978532757258|0.09700451908092625|0.1|0.6738890407462511|spp|0.2939887816275413|0.22911829194593825|0.10526315789473684|0.5475848950419487
nlg|far|0.19593970211465192|0.004485773010622309|0.5833333333333334|0.0|lgl|0.20399800054266604|0.003298349454084983|0.6086956521739131|0.0|kwf|0.20414947620367144|0.0037527764371012066|0.6086956521739131|0.0|kue|0.20982982216813714|0.08568456351572942|0.1111111111111111|0.43269379187757084|boj|0.21087614976738378|0.08228759860105106|0.11764705882352941|0.43269379187757084
nnq|luo|0.19349743705170044|0.05260061727694568|0.09523809523809523|0.4326535986400605|bjv|0.21545737499078269|0.15329267319524892|0.08695652173913043|0.40612293003796873|kyq|0.2209922547512101|0.16161573897756634|0.09523809523809523|0.40612293003796873|afr|0.24114019249856952|0.07991692855158074|0.08|0.5635036489441279|amf|0.24300897697374202|0.08247487420765488|0.1111111111111111|0.5354409456024601
noa|emp|0.12408935058172442|0.0079427885789391|0.0|0.36432526316623415|sja|0.1618087230510079|0.02371562792717021|0.0|0.46171054122585353|gvc|0.21171728806957205|0.06218319020860251|0.2|0.3729686740001137|tuo|0.21415569529799508|0.06401041633415228|0.2222222222222222|0.3562344473376108|sri|0.22563817579286263|0.06216371346409623|0.18181818181818182|0.43293263209630983
not|cab|0.20131962278844595|0.16377477687728728|0.0|0.4401840914880506|ycn|0.2028164122808379|0.06251294881098834|0.0|0.5459362880315254|qvh|0.2067887371300918|0.016765087455332763|0.16666666666666666|0.43693445726827596|pab|0.2167019931068106|0.09384695928758213|0.0|0.5562590200328497|qxo|0.2169225577453715|0.0185984104984457|0.15384615384615385|0.47832310889151497
npl|tac|0.15812974320811168|0.074389229624335|0.4|0.0|mxq|0.17298776183947165|0.010740986787324453|0.11764705882352941|0.39057523990756104|mco|0.17338678689145007|0.011938061943259814|0.11764705882352941|0.39057523990756104|tos|0.1756150722984359|0.011269976987746686|0.125|0.39057523990756104|toc|0.17593909803357763|0.012242054193171804|0.125|0.39057523990756104
nya|knf|0.19337961737809364|0.3065835484825354|0.0|0.27355530365174563|luo|0.2160910519282532|0.07725042562061574|0.1|0.47102273016414387|afr|0.22341586872271335|0.042487392876426076|0.08333333333333333|0.5444268799583807|bjv|0.2312733613764556|0.15523336666446644|0.09090909090909091|0.44767762655580945|spy|0.23607395075603857|0.08804835397149852|0.1111111111111111|0.5090623871855061
