target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
maz|otq|0.0022921685013402872|ote|0.003638315909229159|ncj|0.010885828341442154|tpt|0.010928918984746322|nhw|0.011143122678894404
mbb|mbt|0.0018707106718666674|obo|0.0025451170128383844|bkd|0.0027403385817194046|ceb|0.004712440525521274|bpr|0.00814997450457035
mbc|wap|0.00984844081054854|ake|0.010796127757570075|car|0.020575139566345563|hns|0.028185778968570004|srn|0.028369090810885216
mbh|ata|0.002696286185276348|bnp|0.003744060993179284|mee|0.004506011094088579|lbb|0.013598538693299527|rai|0.013684290547551704
mbj|cbc|0.019937190124676908|pir|0.02025141939222462|tuo|0.02080121034431791|cbv|0.021629236493055266|myy|0.021831167117131366
mbt|mbb|0.0018707106718666674|obo|0.002407561461301279|bkd|0.002837016737854143|ceb|0.005716953909533493|bpr|0.008423468786254362
mca|cax|0.05113883238451195|quh|0.05121248980678627|gyr|0.05561308702742614|pab|0.057661111360867205|nab|0.05995347288181971
mcb|cot|0.0062652160840671175|pib|0.007155557821884683|cni|0.0077293652127504425|not|0.011043188051965207|qve|0.011353319699400176
mcd|cbs|0.0008335740994105665|yaa|0.0025974383625534934|cpb|0.011485897124380395|pib|0.013802707991437431|mcb|0.01462164813477493
mco|mxq|0.0020551801981276855|cle|0.0032134740728361377|mto|0.003308661431049767|zpc|0.0034741469568361906|zai|0.004265875363601362
mcp|nhu|0.0185336625859241|bss|0.019463735584384145|ken|0.021052787706386154|ibo|0.03253427710509686|bjv|0.03377519193008463
mcq|bjz|0.0027111439436450367|bbb|0.003317116036194719|tpi|0.0061621016347091755|rro|0.01034149764552547|mox|0.01257383110902015
mdy|amf|0.005398599971382114|udu|0.023510321212706683|spy|0.030035170331577054|kik|0.034359894696545615|amh|0.03494916961897274
med|kyc|0.0013472930262773235|imo|0.003311496377921352|gam|0.003519880091238589|kue|0.0038504860717082563|snp|0.005746158448829159
mee|ata|0.0018898611655929441|mbh|0.004506011094088579|bnp|0.007095848506725285|lbb|0.009107457624804496|rai|0.009336271572943025
meq|mqb|0.00046237218470349475|muy|0.0009221032485896207|xed|0.0024501678863683|bjv|0.02109348558043434|kyq|0.022741657304514325
met|iou|0.002496087812780351|dah|0.002691741700302375|apr|0.0035800215834286245|bmu|0.0042294431366300764|nca|0.004266097566874097
mgh|kde|0.006982274240235511|wmw|0.010245290090081379|nnq|0.012621810054152896|swh|0.021268107584724177|poy|0.021777481797488694
mib|mie|0.0006085449341543364|mpm|0.0012112096741279644|xtm|0.0013803670517738614|trc|0.0016863741442385833|xtd|0.002223700668011008
mie|mib|0.0006085449341543364|trc|0.001168193921465121|xtm|0.0014100114322801289|mpm|0.0017877574336674276|xtd|0.002332299459976803
mih|mxt|0.0010645507948637|mio|0.0010961042201804096|azg|0.001280315790837884|mpm|0.0028460992952008455|mib|0.003693878815205592
mil|zpl|0.0019569500812128067|zac|0.0020163905631332634|zab|0.0022080522690644433|xtd|0.0025721505976396054|zaa|0.0028590532130183186
mio|mxt|0.000929386272268233|mih|0.0010961042201804096|azg|0.0012214712302775924|mpm|0.0038595777707192266|mib|0.00457176427799825
mit|mxb|0.003315843109883255|pls|0.003494475779197573|npl|0.004507310035195892|nhy|0.005196871808878065|xtm|0.005590978978131952
miz|maq|0.0005181225900502188|vmy|0.0009342140450240022|nhy|0.0013584069218702745|maj|0.0014181968531161112|cso|0.0016116842553558948
mjl|kfs|0.001956221133015243|kfx|0.0022659740473741|bfz|0.003766615026618451|xnr|0.0038101463326157816|gbk|0.005048024149608475
mkd|grc|0.009895520210918884|srp|0.015159434680634642|bul|0.016592199589883665|ell|0.01884503263554451|bos|0.02314033227833863
mkl|bqc|0.004621259146142505|bba|0.007815148600179183|bus|0.009314945897695097|bqp|0.009642466165827887|gux|0.010288469115124292
mkn|rgu|0.002404367563086231|llg|0.004276403986567159|txq|0.0048947687834668225|nfa|0.006146577206109764|hvn|0.009899867125604948
mlt|lat|0.03448310276802738|grc|0.03938135749319799|ita|0.04047466490658522|ell|0.04090291361366962|mkd|0.04492767374389316
mop|kek|0.005474296217071377|bzj|0.006215232492969843|caa|0.008541037454723241|acr|0.009873813480886095|usp|0.01118368120007944
mox|tte|0.006427296059318647|bjz|0.010216716472829701|mcq|0.01257383110902015|mpx|0.012946621582419516|bbb|0.01491504932893751
mpm|mib|0.0012112096741279644|mie|0.0017877574336674276|xtm|0.002275521990070499|trc|0.002648905255122385|mih|0.0028460992952008455
mpp|ded|0.0005492887332173681|ksr|0.0017113240775486363|bmu|0.002335366086307045|met|0.005255380166275564|bzh|0.005972779918016833
mpx|tgo|0.006350326445808635|tte|0.00909087189211652|mox|0.012946621582419516|bjz|0.022697345078744297|mcq|0.025259251460135596
mqb|meq|0.00046237218470349475|muy|0.000513635449786099|xed|0.0027724455388178095|bjv|0.020846639261427758|kyq|0.022286045591169618
mqj|ptu|0.001600235904921645|blz|0.02444234806026792|hvn|0.04331635890864997|mkn|0.045786872853441116|nfa|0.04618143634558127
