target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
szc|zsm|0.008430785045765781|zlm|0.012552037077010563|khm|0.04548368624186167|iba|0.057331249865413096|jav|0.0712204505095915
sze|udu|0.0029835145625433535|mdy|0.02367649919274266|amf|0.0266467851873764|amh|0.029428755499373727|dik|0.036377025213213905
szg|lin|0.017714651239100376|mcp|0.040971907209687325|bss|0.0568976452826074|bjv|0.05816971208995972|nhu|0.059152379132399076
szl|pol|0.0076068517120741795|ces|0.008935009750589454|slk|0.014991018981307044|deu|0.020632872155993708|hun|0.024641150555335747
szn|alp|0.014217018248140157|blz|0.016882153859826807|kje|0.03245654863156784|lex|0.03428326910213018|mqj|0.03628268085825162
szp|alp|0.021687617275363537|yva|0.022900129161819133|amk|0.024323595039214874|lex|0.04103012825174568|kje|0.0430143306266504
szv|bss|0.005527908197891342|ken|0.008993987145575075|ibo|0.012374578564297373|nhu|0.014878977529719643|mcp|0.02064010760252709
szw|alp|0.020116046784512332|blz|0.027761652818900896|bps|0.03410700666498712|bpr|0.03582114347078864|tbl|0.03712777111612683
szy|prf|0.03913348967460973|kne|0.0399330839230621|sgb|0.049192328392019126|fil|0.06587269669095369|agn|0.07531644701191038
taa|gwi|0.020373459825246288|dgr|0.07839743178770421|pao|0.1679935844320428|tew|0.21510565186208583|ood|0.22382804567019185
tab|azj|0.008117873263406787|hye|0.016373973044412113|kat|0.016823312537285213|glk|0.028438650134826403|sdh|0.05090709782266523
tad|amk|0.005694162455344268|yva|0.00688487287588983|agg|0.024376090240590717|urt|0.03299998727461228|ipi|0.03720902174602173
tae|pir|0.0033537670999841777|tuo|0.0038187802776010285|cbv|0.004436065881675937|cbc|0.004630518279847238|gvc|0.005106858121373947
taf|txu|0.016493985155724138|kyz|0.027649713881459235|gub|0.04188486410110336|pab|0.043497186292413365|urb|0.05061981964362529
tag|dik|0.023754987070325452|udu|0.024046278989262503|amh|0.046944441147818955|mdy|0.0474468191985036|amf|0.049285568021238145
tah|mri|0.20076559462153704|tnk|0.21661841134023463|tnp|0.21697524690906284|tnn|0.21743726411081007|lww|0.22406718833266848
tak|hau|0.007764959824592373|nin|0.010351810395665796|xed|0.021335614075565452|nhu|0.021705050532386732|meq|0.023351204806563577
tal|nin|0.005787414793379286|hau|0.01174309913076244|nhu|0.016454445693005748|ken|0.019742906312345005|atg|0.021258687466793522
tan|xed|0.014519562458954407|hau|0.01591470093456712|meq|0.016115855049621305|nin|0.01625568092580748|mqb|0.01657733204835267
tao|prf|0.02830908652912719|kne|0.02912490167662519|sgb|0.03838549964756303|fil|0.05511594315291603|agn|0.0645341911455487
