target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
bjr|omw|0.16666666666666663|tbg|0.16666666666666663|agd|0.3846153846153846|awb|0.3846153846153846|snp|0.5384615384615384
bjv|kyq|0.33333333333333337|cbu|0.8333333333333334|con|0.8333333333333334|ata|0.8333333333333334|ura|0.8333333333333334
bjz|cbu|0.8181818181818181|con|0.8181818181818181|ata|0.8181818181818181|ura|0.8181818181818181|guo|0.8333333333333334
bkd|cgc|0.25|obo|0.4444444444444444|mbt|0.4736842105263158|mbb|0.4736842105263158|ceb|0.5
blz|agn|0.5714285714285714|jvn|0.6|tbl|0.6|jav|0.6|yka|0.625
bmr|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
bmu|ksr|0.11111111111111116|ded|0.17647058823529416|mpp|0.5555555555555556|dah|0.6|iou|0.6
bnp|lbb|0.30434782608695654|rai|0.30434782608695654|mpx|0.36363636363636365|tgo|0.36363636363636365|tte|0.36363636363636365
boa|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
boj|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
bos|srp|0.08333333333333337|hrv|0.08333333333333337|slv|0.30000000000000004|bul|0.4285714285714286|mkd|0.4285714285714286
box|bba|0.368421052631579|tbz|0.3846153846153846|cme|0.4|gux|0.40740740740740744|gng|0.40740740740740744
bpr|bps|0.1428571428571429|tbl|0.23076923076923073|agn|0.5|jvn|0.5384615384615384|jav|0.5384615384615384
bps|bpr|0.1428571428571429|tbl|0.23076923076923073|agn|0.5|jvn|0.5384615384615384|jav|0.5384615384615384
bqc|bqp|0.125|bus|0.125|yre|0.625|cbu|0.8|con|0.8
bqp|bqc|0.125|bus|0.125|yre|0.625|cbu|0.8|con|0.8
bss|poy|0.41666666666666663|ndj|0.41666666666666663|mcp|0.4285714285714286|ken|0.4545454545454546|seh|0.46153846153846156
bul|mkd|0.11111111111111116|slv|0.2941176470588235|rus|0.375|bel|0.375|slk|0.4117647058823529
bus|bqp|0.125|bqc|0.125|yre|0.625|cbu|0.8|con|0.8
byr|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
bzh|met|0.36|apr|0.36|mee|0.3846153846153846|tbc|0.40740740740740744|mbh|0.40740740740740744
bzj|srm|0.21212121212121215|eng|0.22580645161290325|srn|0.23529411764705888|rop|0.25|djk|0.2571428571428571
caa|chf|0.25|ctu|0.25|jac|0.5|knj|0.5|mop|0.5714285714285714
cab|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778|guo|0.8
cap|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
car|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
cat|oci|0.11111111111111116|ast|0.1428571428571429|spa|0.1428571428571429|glg|0.1428571428571429|kea|0.19999999999999996
cax|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
