target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
myy|sri|0.18667630375216748|0.0032690489871242253|0.4285714285714286|0.12818843369794963|cbc|0.2340865536275287|0.0026426557560650685|0.5714285714285714|0.12818843369794963|tue|0.2342005171551832|0.0029845463390285334|0.5714285714285714|0.12818843369794963|pir|0.24072672491846234|0.004806261271782075|0.5384615384615384|0.17891237502206647|bao|0.2418040236291177|0.0025300642495200087|0.5384615384615384|0.18442046817629476
nab|cax|0.43418372748795314|0.01811168050336967|0.7142857142857143|0.5701537876747754|yad|0.43874520510692855|0.09230267005763855|0.7142857142857143|0.5096472309774328|cof|0.44583279845092144|0.13382357649623022|0.75|0.45367481885653427|tca|0.4493696559085598|0.08205951602216137|0.7142857142857143|0.5517637374178039|gyr|0.46345540812272185|0.014186711807414215|0.8333333333333334|0.5428461792274178
nas|rro|0.44348996527604223|0.05160182910247434|0.9|0.3788680667256523|ata|0.45339867765308234|0.025820796752733067|0.7777777777777778|0.5565974584287363|agg|0.45744145240148054|0.08142016319209583|0.8|0.49090419401234575|mcq|0.4724513434907937|0.042574753861826686|0.8181818181818181|0.5565974584287363|urt|0.47814399174469147|0.07291723711943662|0.8181818181818181|0.5433329199328196
nca|dah|0.12896633268267413|0.002283613432637808|0.3846153846153846|0.0|iou|0.1294696481025926|0.0037935596923931733|0.3846153846153846|0.0|ded|0.2030013678696048|0.009004103608814441|0.6|0.0|bmu|0.2109382595509309|0.007814778652792726|0.625|0.0|ksr|0.2112717665910363|0.00881529977310893|0.625|0.0
nch|nhw|0.04243729067358252|0.0023118720207475642|0.125|0.0|nhe|0.04258272859802937|0.002748185794088124|0.125|0.0|azz|0.06897945878978069|0.0069383763693421415|0.19999999999999996|0.0|nhy|0.07260717087244546|0.01782151261733645|0.19999999999999996|0.0|ngu|0.07272127279423786|0.018163818382713623|0.19999999999999996|0.0
ncj|azz|0.2901184884676315|0.0022281702576753743|0.33333333333333337|0.5347939618118857|nhy|0.2933774251795921|0.012004980393557213|0.33333333333333337|0.5347939618118857|ngu|0.29394223221576166|0.013699401502065887|0.33333333333333337|0.5347939618118857|nhe|0.3049820161610235|0.005152086671184786|0.375|0.5347939618118857|nch|0.30520465793869983|0.005820012004213827|0.375|0.5347939618118857
ncl|ngu|0.27301665149592974|0.02321680280892048|0.375|0.4208331516788688|azz|0.2759837471281116|0.032118089705465896|0.375|0.4208331516788688|nhy|0.2765338372563426|0.03376836009015901|0.375|0.4208331516788688|nhw|0.2872995613970299|0.029300826629867806|0.4117647058823529|0.4208331516788688|nch|0.2875243361369796|0.029975150849717018|0.4117647058823529|0.4208331516788688
ncu|nko|0.25765107831893547|0.006192338791161975|0.25|0.5167608961656445|fon|0.34313232598640236|0.012039509232937949|0.6190476190476191|0.39830984967865024|gng|0.3772451683838109|0.012800848199400713|0.7931034482758621|0.3258312086761699|ikk|0.38003153468043543|0.03767732002288782|0.7|0.40241728401841836|soy|0.380647902872542|0.013276757232768386|0.6842105263157895|0.44445642506906824
ndj|poy|0.18970271193063626|0.002764646823047656|0.09999999999999998|0.46634348896886113|wmw|0.19188519761568537|0.03349277076669241|0.30434782608695654|0.23781499599340716|toi|0.21052420946056874|0.06946268547643641|0.30434782608695654|0.2577621168183133|kde|0.22297645737077101|0.023877073547903853|0.2727272727272727|0.37232502583713645|lug|0.22784722628096196|0.054571944941153236|0.30434782608695654|0.32462190781477607
nfa|hvn|0.034886200286552226|0.004658600859656694|0.09999999999999998|0.0|txq|0.2800077052442242|0.00167707525158346|0.5238095238095238|0.31453651667156524|llg|0.28022681720215714|0.0023344111253823887|0.5238095238095238|0.31453651667156524|kje|0.2812240347362326|0.029135587537132558|0.5|0.31453651667156524|lex|0.2823266172923955|0.032443335205621204|0.5|0.31453651667156524
ngp|ziw|0.023607695825637667|0.004156420810246353|0.06666666666666665|0.0|vid|0.060945433818715165|0.010422508352697202|0.1724137931034483|0.0|ruf|0.0734158473960591|0.005961827902463005|0.2142857142857143|0.0|cwe|0.08237988321886705|0.005760339311773519|0.24137931034482762|0.0|kdc|0.09156419220554883|0.008025909949979735|0.2666666666666667|0.0
ngu|nhy|0.05124803625574457|0.010886965910090793|0.1428571428571429|0.0|azz|0.052558082913455116|0.014817105883222445|0.1428571428571429|0.0|nch|0.07272127279423786|0.018163818382713623|0.19999999999999996|0.0|nhe|0.07288210988770975|0.018646329663129322|0.19999999999999996|0.0|nhw|0.07315916879255384|0.019477506377661543|0.19999999999999996|0.0
nhe|nch|0.04258272859802937|0.002748185794088124|0.125|0.0|nhw|0.04326426352101923|0.004792790563057708|0.125|0.0|azz|0.0684508201434665|0.0053524604303995405|0.19999999999999996|0.0|nhy|0.07221588856183016|0.016647665685490545|0.19999999999999996|0.0|ngu|0.07288210988770975|0.018646329663129322|0.19999999999999996|0.0
nhu|ken|0.34860086818096114|0.007099496688367627|0.368421052631579|0.6702820552229368|bss|0.37404346266590544|0.009476559993729653|0.52|0.5926538280039866|mcp|0.3811343757333807|0.0185336625859241|0.52|0.6048694646142179|kdl|0.39111991904806914|0.036058129056155075|0.6190476190476191|0.5182540090404332|poy|0.39570542052500773|0.16589100499960807|0.4285714285714286|0.5926538280039866
nhw|nch|0.04243729067358252|0.0023118720207475642|0.125|0.0|nhe|0.04326426352101923|0.004792790563057708|0.125|0.0|azz|0.06974542091590048|0.00923626274770148|0.19999999999999996|0.0|ngu|0.07315916879255384|0.019477506377661543|0.19999999999999996|0.0|nhy|0.07332288449070685|0.019968653472120623|0.19999999999999996|0.0
nhy|ngu|0.05124803625574457|0.010886965910090793|0.1428571428571429|0.0|azz|0.05138739492242952|0.01130504191014565|0.1428571428571429|0.0|nhe|0.07221588856183016|0.016647665685490545|0.19999999999999996|0.0|nch|0.07260717087244546|0.01782151261733645|0.19999999999999996|0.0|nhw|0.07332288449070685|0.019968653472120623|0.19999999999999996|0.0
nin|ikk|0.26138583840076784|0.0186518686893979|0.5|0.26550564651290554|atg|0.3102294949419411|0.015962829619650867|0.5789473684210527|0.3357782867851197|mkl|0.3219215598866511|0.03183097387890789|0.5555555555555556|0.37837815022548993|ibo|0.33178599062400743|0.024902265362842967|0.5|0.47045570650917923|kdl|0.3414538639760167|0.020017878459498588|0.5789473684210527|0.4253963450474987
